AC voltage grade,Rated power(VA),Battery voltage,Inverter voltage,Grid voltage,BUS voltage,Control current,Inverter current,Grid current,Battery voltage,PInverter,PGrid,PLoad,Load percent,SInverter,SGrid,Sload,Qinverter,Qgrid,Qload,Inverter frequency,Grid frequency,Inverter max number,Combine type,Inverter number,AC radiator temperature,Transformer temperature,DC radiator temperature,Batt power,Batt current,Batt voltage grade,Rated power(W),Communication Protocal Edition,PV voltage,Battery voltage,Charger current,Charger power,Radiator temperature,External temperature,BattVol Grade,Rated Current,MachineType,SerialNumber,Hardware,Software,ProtocalEdition,WorkState,InverterRelayState,GridRelayState,LoadRelayState,NLineRelayState,DcRelayState,EarthRelayState,AccumulatedChargerPower,AccumulatedDischargerPower,AccumulatedBuyPower,AccumulatedSellPower,AccumulatedLoadPower,AccumulatedSelfusePower,AccumulatedPvsellPower,AccumulatedGridChargerPower,Errs,ChrWorkstate,MpptState,ChargingState,BatteryRelay,PvRelay,ChrHardware,ChrSoftware,AccumulatedPvPower,Id,RecordTime,
230,3000,27.1,230,232.4,422.3,1.4,1.1,0,1.1,142,0,143,4,322,0,266,287,0,287,50,50,0,0,0,42,0,0,-62,-2,24,3000,10414,75.6,27.4,9.8,267,49,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,26.4KWH,0KWH,0KWH,95.7KWH,26.4KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,23.6KWH,1,29/01/2020 02:13:13 p.m.,
230,3000,23.8,230,226.6,368.2,1.7,1.5,0,1.5,157,0,156,5,391,0,347,358,0,358,50,49.98,0,0,0,52,0,0,221,9,24,3000,10414,0,0,0,0,0,0,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,28KWH,0KWH,0KWH,97.2KWH,28KWH,0KWH,0KWH,,Initialization mode ,Stop,Stop,Disconnect,Disconnect,1.02.02,1.16.29,24KWH,2,29/01/2020 10:51:29 p.m.,
230,3000,23.8,230,228.2,367.8,1.7,1.5,0,1.5,155,0,158,5,393,0,353,360,0,363,50,50.01,0,0,0,52,0,0,219,9,24,3000,10414,0,0,0,0,0,0,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,28KWH,0KWH,0KWH,97.2KWH,28KWH,0KWH,0KWH,,Initialization mode ,Stop,Stop,Disconnect,Disconnect,1.02.02,1.16.29,24KWH,3,29/01/2020 10:56:31 p.m.,
230,3000,23.7,230,224.9,367.2,1.7,1.5,0,1.5,159,0,158,5,393,0,350,360,0,360,50,50.04,0,0,0,52,0,0,223,9,24,3000,10414,0,0,0,0,0,0,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,28KWH,0KWH,0KWH,97.3KWH,28KWH,0KWH,0KWH,,Initialization mode ,Stop,Stop,Disconnect,Disconnect,1.02.02,1.16.29,24KWH,4,29/01/2020 11:01:31 p.m.,
230,3000,23.7,230,227.3,367.1,1.7,1.5,0,1.5,156,0,149,5,391,0,347,360,0,360,50,50.04,0,0,0,52,0,0,220,9,24,3000,10414,0,0,0,0,0,0,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,28KWH,0KWH,0KWH,97.3KWH,28KWH,0KWH,0KWH,,Initialization mode ,Stop,Stop,Disconnect,Disconnect,1.02.02,1.16.29,24KWH,5,29/01/2020 11:06:31 p.m.,
230,3000,23.5,230,228.6,362.7,1.7,1.5,0,1.5,287,0,284,9,393,0,347,269,0,266,50,50.06,0,0,0,51,0,0,363,15,24,3000,10414,0,0,0,0,0,0,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,28KWH,0KWH,0KWH,97.3KWH,28KWH,0KWH,0KWH,,Initialization mode ,Stop,Stop,Disconnect,Disconnect,1.02.02,1.16.29,24KWH,6,29/01/2020 11:11:31 p.m.,
230,3000,23.4,230,226.8,361.9,1.6,1.4,0,1.4,274,0,273,8,382,0,343,265,0,274,50,50,0,0,0,50,0,0,349,14,24,3000,10414,0,0,0,0,0,0,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,28.1KWH,0KWH,0KWH,97.3KWH,28.1KWH,0KWH,0KWH,,Initialization mode ,Stop,Stop,Disconnect,Disconnect,1.02.02,1.16.29,24KWH,7,29/01/2020 11:16:31 p.m.,
230,3000,26.7,0,232.6,429,0,0,0.7,0.7,0,119,118,3,0,162,156,0,109,109,50.15,50.15,0,0,0,37,0,0,-429,-16,24,3000,10414,74.4,27.2,15.7,429,43,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,28.8KWH,0KWH,0KWH,99.3KWH,28.8KWH,0KWH,0KWH,,Work Mode,MPPT, Float charge,Connect,Connect,1.02.02,1.16.29,24.2KWH,8,30/01/2020 08:50:46 a.m.,
230,3000,27.2,0,232.9,433.5,0,0,3.7,3.7,0,477,475,16,0,876,875,0,730,734,50.13,50.13,0,0,0,34,0,0,-514,-18,24,3000,10414,68.4,27.4,18.8,514,45,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,28.8KWH,0KWH,0KWH,99.3KWH,28.8KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,24.2KWH,9,30/01/2020 08:55:47 a.m.,
230,3000,26.6,230,229.7,413.6,1.4,1.1,0,1.1,282,0,284,9,322,0,284,149,0,150,50,50.05,0,0,0,34,0,0,-241,-9,24,3000,10414,70.6,26.8,22.3,599,47,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,28.8KWH,0KWH,0KWH,99.3KWH,28.8KWH,0KWH,0KWH,,Work Mode,MPPT, Float charge,Connect,Connect,1.02.02,1.16.29,24.3KWH,10,30/01/2020 09:00:47 a.m.,
230,3000,26.8,230,230.7,415.9,1.3,1,0,1,273,0,271,9,301,0,271,131,0,131,50,50.02,0,0,0,36,0,0,-272,-10,24,3000,10414,71,27,22.9,620,41,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,28.8KWH,0KWH,0KWH,99.3KWH,28.8KWH,0KWH,0KWH,,Work Mode,MPPT, Float charge,Connect,Connect,1.02.02,1.16.29,24.3KWH,11,30/01/2020 09:05:47 a.m.,
230,3000,26.9,230,232.4,418.1,1.3,1,0,1,267,0,264,8,299,0,264,137,0,137,50,49.99,0,0,0,36,0,0,-300,-11,24,3000,10414,71.5,27.1,23.7,642,40,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,28.9KWH,0KWH,0KWH,99.3KWH,28.9KWH,0KWH,0KWH,,Work Mode,MPPT, Float charge,Connect,Connect,1.02.02,1.16.29,24.4KWH,12,30/01/2020 09:10:47 a.m.,
230,3000,27,230,229,420.3,1.2,0.9,0,0.9,255,0,259,8,290,0,259,129,0,136,50,49.99,0,0,0,37,0,0,-329,-12,24,3000,10414,71.8,27.2,24.1,657,40,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,28.9KWH,0KWH,0KWH,99.4KWH,28.9KWH,0KWH,0KWH,,Work Mode,MPPT, Float charge,Connect,Connect,1.02.02,1.16.29,24.4KWH,13,30/01/2020 09:15:48 a.m.,
230,3000,27.2,230,229.3,424.1,1.1,0.7,0,0.7,110,0,109,3,244,0,164,217,0,217,50,49.97,0,0,0,37,0,0,-377,-13,24,3000,10414,78,27.4,19.9,547,40,-53,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,28.9KWH,0KWH,0KWH,99.4KWH,28.9KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,24.5KWH,14,30/01/2020 09:20:48 a.m.,
230,3000,27.2,230,228.6,423.4,1,0.6,0,0.6,110,0,109,3,250,0,172,224,0,224,50,49.99,0,0,0,37,0,0,-344,-12,24,3000,10414,78.5,27.4,18.7,514,39,-53,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,28.9KWH,0KWH,0KWH,99.4KWH,28.9KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,24.5KWH,15,30/01/2020 09:25:48 a.m.,
230,3000,27.2,230,228.4,422.8,1,0.7,0,0.7,110,0,111,3,253,0,177,226,0,226,50,49.94,0,0,0,37,0,0,-314,-11,24,3000,10414,79,27.4,18,492,39,-53,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,28.9KWH,0KWH,0KWH,99.4KWH,28.9KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,24.6KWH,16,30/01/2020 09:30:48 a.m.,
230,3000,27.1,230,234,422.3,1.1,0.7,0,0.7,112,0,111,3,253,0,177,226,0,225,50,50.02,0,0,0,37,0,0,-294,-10,24,3000,10414,79,27.4,17.1,468,38,-53,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,28.9KWH,0KWH,0KWH,99.4KWH,28.9KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,24.6KWH,17,30/01/2020 09:35:48 a.m.,
230,3000,27.1,230,231.6,422.1,1.1,0.7,0,0.7,110,0,115,3,253,0,177,224,0,224,50,50.03,0,0,0,37,0,0,-280,-10,24,3000,10414,78.8,27.4,16.4,450,38,-53,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,28.9KWH,0KWH,0KWH,99.4KWH,28.9KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,24.6KWH,18,30/01/2020 09:40:48 a.m.,
230,3000,27.1,230,232.1,422.2,1.1,0.7,0,0.7,112,0,115,3,253,0,177,224,0,224,50,50.03,0,0,0,37,0,0,-273,-10,24,3000,10414,78.7,27.4,16.2,445,37,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,28.9KWH,0KWH,0KWH,99.4KWH,28.9KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,24.7KWH,19,30/01/2020 09:45:48 a.m.,
